fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts
4,q3_full,high_delay,1,model_dependent,0.23303543389064169,0.24240913073621767,53,0,[],[11.0],[214]
4,q3_full,high_delay,3,model_dependent,0.23303543389064169,0.24240913073621767,53,0,"[29.0780592777865, 29.80803022604035]","[11.0, 11.0, 11.0]","[32, 28, 154]"
4,q3_full,high_delay,4,model_dependent,0.23303543389064163,0.24240913073621767,53,0,"[29.152824510000002, 30.406106735, 33.21173465295685]","[11.0, 11.0, 11.0, 11.0]","[36, 44, 75, 59]"
5,q2,step_only,1,model_dependent,0.1551681268919852,0.15761695844089857,53,1,[],[25.0],[214]
5,q2,step_only,3,model_dependent,0.15467541817263686,0.15601668509221225,53,1,"[28.995840137890752, 29.92762346]","[12.857142857142858, 25.0, 25.0]","[25, 32, 157]"
5,q2,step_only,4,model_dependent,0.15467541817263686,0.15601668509221225,53,1,"[28.995840137890752, 29.92762346, 31.66284253]","[12.857142857142858, 25.0, 25.0, 25.0]","[25, 32, 57, 100]"
5,q2,low_delay,1,model_dependent,0.2038727223429534,0.2070345236831787,53,1,[],[12.857142857142858],[214]
5,q2,low_delay,3,model_dependent,0.19673085152898995,0.19786965127361403,53,1,"[29.0780592777865, 33.48942369335015]","[12.857142857142858, 12.857142857142858, 25.0]","[29, 135, 50]"
5,q2,low_delay,4,model_dependent,0.19673085152898995,0.19786965127361403,53,1,"[29.0455820628869, 29.8182661822407, 33.48942369335015]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[27, 27, 110, 50]"
5,q2,medium_delay,1,model_dependent,0.22744895606534327,0.23045122024483872,53,1,[],[11.0],[214]
5,q2,medium_delay,3,model_dependent,0.22667750048180887,0.2295143672412149,53,1,"[33.01379810004135, 34.10245052764635]","[11.0, 11.714285714285714, 12.857142857142858]","[150, 25, 39]"
5,q2,medium_delay,4,model_dependent,0.22667750048180887,0.2295143672412149,53,1,"[29.20214229677795, 33.01379810004135, 34.10245052764635]","[11.0, 11.0, 11.714285714285714, 12.857142857142858]","[36, 114, 25, 39]"
5,q2,high_delay,1,model_dependent,0.22744895606534327,0.23045122024483872,53,1,[],[11.0],[214]
5,q2,high_delay,3,model_dependent,0.22744895606534327,0.23045122024483872,53,1,"[29.20214229677795, 30.3804461322209]","[11.0, 11.0, 11.0]","[36, 38, 140]"
5,q2,high_delay,4,model_dependent,0.22744895606534324,0.23045122024483872,53,1,"[29.26591345677795, 30.46963577, 33.71727917055455]","[11.0, 11.0, 11.0, 11.0]","[37, 45, 84, 48]"
5,q3_basic,step_only,1,model_dependent,0.1547466852894004,0.15607818357378664,53,1,[],[25.0],[214]
5,q3_basic,step_only,3,model_dependent,0.15457232805579457,0.15393868774372993,53,1,"[29.152824510000002, 30.435518495]","[12.857142857142858, 25.0, 25.0]","[35, 43, 136]"
5,q3_basic,step_only,4,model_dependent,0.15457232805579457,0.15393868774372993,53,1,"[29.152824510000002, 30.435518495, 32.2768860333865]","[12.857142857142858, 25.0, 25.0, 25.0]","[35, 43, 52, 84]"
5,q3_basic,low_delay,1,model_dependent,0.20369525411381942,0.20184347345483566,53,1,[],[12.857142857142858],[214]
