fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts,effective_groups,merged_cutpoints,merged_weeks,merged_counts,boundary_groups
3,q3_full,medium_delay,1,model_dependent,0.2048734783470477,0.2015122590062297,53,0,[],[11.0],[214],1,[],[11.0],[214],1
3,q3_full,medium_delay,3,model_dependent,0.2045021149078806,0.2013902444884362,53,0,"[29.130029079670052, 35.55795257478585]","[11.0, 11.0, 12.857142857142858]","[30, 158, 26]",2,[35.55795257478585],"[11.0, 12.857142857142858]","[188, 26]",1
3,q3_full,medium_delay,4,model_dependent,0.2045021149078806,0.2013902444884362,53,0,"[29.43062944343895, 30.521331102512548, 35.55795257478585]","[11.0, 11.0, 11.0, 12.857142857142858]","[41, 45, 102, 26]",2,[35.55795257478585],"[11.0, 12.857142857142858]","[188, 26]",1
3,q3_full,high_delay,1,model_dependent,0.2048734783470477,0.2015122590062297,53,0,[],[11.0],[214],1,[],[11.0],[214],1
3,q3_full,high_delay,3,model_dependent,0.2048734783470477,0.2015122590062297,53,0,"[29.43062944343895, 30.521331102512548]","[11.0, 11.0, 11.0]","[41, 45, 128]",1,[],[11.0],[214],1
3,q3_full,high_delay,4,model_dependent,0.2048734783470477,0.2015122590062297,53,0,"[29.43062944343895, 30.521331102512548, 32.46810561226445]","[11.0, 11.0, 11.0, 11.0]","[41, 45, 50, 78]",1,[],[11.0],[214],1
4,q2,step_only,1,model_dependent,0.1592331293780573,0.1589012544769743,53,0,[],[25.0],[214],1,[],[25.0],[214],1
4,q2,step_only,3,model_dependent,0.1592331293780573,0.1589012544769743,53,0,"[29.20491842677795, 30.456294565]","[25.0, 25.0, 25.0]","[38, 46, 130]",1,[],[25.0],[214],1
4,q2,step_only,4,model_dependent,0.1592331293780573,0.1589012544769743,53,0,"[29.20491842677795, 30.456294565, 33.1117307459062]","[25.0, 25.0, 25.0, 25.0]","[38, 46, 67, 63]",1,[],[25.0],[214],1
4,q2,low_delay,1,model_dependent,0.2103782866493902,0.2104053243334048,53,0,[],[12.857142857142858],[214],1,[],[12.857142857142858],[214],0
